household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,second_quintile,2001,38000.0,9500.0,47500.0,3200.0,5100.0,45600.0
all_households,second_quintile,2002,36700.0,10000.0,46600.0,3700.0,4500.0,45800.0
all_households,second_quintile,2003,36100.0,10100.0,46200.0,4100.0,4200.0,46100.0
all_households,second_quintile,2004,37400.0,9600.0,47100.0,4500.0,4400.0,47200.0
all_households,second_quintile,2005,38300.0,9800.0,48100.0,4400.0,4700.0,47900.0
all_households,second_quintile,2006,39000.0,10100.0,49000.0,4300.0,4800.0,48500.0
all_households,second_quintile,2007,41100.0,10400.0,51500.0,4400.0,5100.0,50700.0
all_households,second_quintile,2008,38900.0,10800.0,49700.0,4800.0,3300.0,51200.0
all_households,second_quintile,2009,35500.0,13200.0,48700.0,5500.0,2600.0,51600.0
all_households,second_quintile,2010,34900.0,13000.0,47900.0,6000.0,2800.0,51100.0
all_households,second_quintile,2011,35300.0,12200.0,47500.0,6000.0,2900.0,50600.0
all_households,second_quintile,2012,34800.0,12500.0,47300.0,6000.0,2900.0,50400.0
all_households,second_quintile,2013,35800.0,12300.0,48100.0,6100.0,3600.0,50600.0
all_households,second_quintile,2014,36300.0,11900.0,48200.0,7100.0,3600.0,51700.0
all_households,second_quintile,2015,38200.0,12200.0,50400.0,8000.0,3900.0,54600.0
all_households,second_quintile,2016,38700.0,12600.0,51300.0,8200.0,3900.0,55500.0
all_households,second_quintile,2017,39000.0,12700.0,51700.0,8000.0,4000.0,55700.0
all_households,second_quintile,2018,40400.0,12600.0,53000.0,8000.0,3500.0,57500.0
all_households,second_quintile,2019,42500.0,12900.0,55400.0,8000.0,4100.0,59400.0
all_households,middle_quintile,1979,57900.0,3000.0,60900.0,500.0,12000.0,49400.0
all_households,middle_quintile,1980,55100.0,3400.0,58600.0,500.0,11500.0,47500.0
all_households,middle_quintile,1981,54800.0,3700.0,58400.0,500.0,11800.0,47100.0
all_households,middle_quintile,1982,53200.0,4600.0,57800.0,400.0,10700.0,47500.0
all_households,middle_quintile,1983,52300.0,4700.0,57000.0,400.0,10400.0,47000.0
all_households,middle_quintile,1984,55700.0,4600.0,60300.0,400.0,11200.0,49500.0
all_households,middle_quintile,1985,55900.0,4700.0,60600.0,400.0,11300.0,49700.0
all_households,middle_quintile,1986,57000.0,4900.0,61900.0,400.0,11700.0,50700.0
all_households,middle_quintile,1987,56600.0,4600.0,61200.0,400.0,11500.0,50200.0
all_households,middle_quintile,1988,57700.0,4400.0,62000.0,500.0,11900.0,50600.0
all_households,middle_quintile,1989,58100.0,4400.0,62500.0,400.0,11900.0,51000.0
all_households,middle_quintile,1990,58400.0,4700.0,63100.0,500.0,12100.0,51500.0
all_households,middle_quintile,1991,56500.0,5200.0,61700.0,600.0,11600.0,50700.0
all_households,middle_quintile,1992,56800.0,5300.0,62100.0,800.0,11600.0,51400.0
all_households,middle_quintile,1993,56900.0,5200.0,62100.0,900.0,11600.0,51500.0
all_households,middle_quintile,1994,57600.0,5000.0,62600.0,900.0,11800.0,51700.0
all_households,middle_quintile,1995,59700.0,5000.0,64700.0,1000.0,12300.0,53400.0
all_households,middle_quintile,1996,60200.0,5500.0,65700.0,900.0,12400.0,54200.0
all_households,middle_quintile,1997,61600.0,5500.0,67100.0,900.0,12700.0,55300.0
all_households,middle_quintile,1998,63900.0,5500.0,69400.0,1000.0,12800.0,57700.0
all_households,middle_quintile,1999,66300.0,5700.0,72000.0,1200.0,13300.0,59800.0
all_households,middle_quintile,2000,66200.0,5800.0,72000.0,1200.0,13200.0,60100.0
all_households,middle_quintile,2001,65800.0,6800.0,72600.0,1400.0,11900.0,62000.0
all_households,middle_quintile,2002,63600.0,7200.0,70800.0,1600.0,11200.0,61200.0
all_households,middle_quintile,2003,63600.0,7200.0,70800.0,1800.0,10600.0,62000.0
all_households,middle_quintile,2004,65700.0,7300.0,72900.0,1900.0,11100.0,63700.0
all_households,middle_quintile,2005,66700.0,7300.0,73900.0,1900.0,11500.0,64300.0
all_households,middle_quintile,2006,67100.0,7700.0,74700.0,1800.0,11700.0,64900.0
all_households,middle_quintile,2007,69600.0,7800.0,77400.0,2000.0,12100.0,67300.0
all_households,middle_quintile,2008,66700.0,8200.0,74900.0,2100.0,9600.0,67300.0
all_households,middle_quintile,2009,63600.0,10100.0,73700.0,2600.0,9000.0,67300.0
all_households,middle_quintile,2010,62400.0,10300.0,72700.0,2600.0,9200.0,66200.0
all_households,middle_quintile,2011,62300.0,9700.0,72100.0,2700.0,9100.0,65800.0
all_households,middle_quintile,2012,62300.0,10000.0,72300.0,2700.0,9200.0,65800.0
all_households,middle_quintile,2013,63900.0,9800.0,73700.0,2800.0,10500.0,66000.0
all_households,middle_quintile,2014,65300.0,9700.0,75000.0,3400.0,10900.0,67500.0
all_households,middle_quintile,2015,67400.0,10100.0,77500.0,3900.0,11300.0,70100.0
all_households,middle_quintile,2016,67900.0,9900.0,77800.0,4100.0,11400.0,70500.0
all_households,middle_quintile,2017,69300.0,10000.0,79300.0,4100.0,11500.0,71900.0
all_households,middle_quintile,2018,70100.0,10200.0,80400.0,4000.0,10600.0,73700.0
all_households,middle_quintile,2019,72400.0,10600.0,83000.0,4100.0,11200.0,75800.0
all_households,fourth_quintile,1979,80200.0,2300.0,82400.0,300.0,18300.0,64400.0
all_households,fourth_quintile,1980,77800.0,2500.0,80300.0,200.0,18000.0,62500.0
all_households,fourth_quintile,1981,78500.0,2800.0,81300.0,300.0,18800.0,62800.0
all_households,fourth_quintile,1982,77300.0,3200.0,80500.0,200.0,17400.0,63300.0
all_households,fourth_quintile,1983,76800.0,3400.0,80200.0,200.0,16800.0,63600.0
all_households,fourth_quintile,1984,81400.0,3000.0,84400.0,200.0,17900.0,66700.0
all_households,fourth_quintile,1985,81500.0,3000.0,84500.0,200.0,18100.0,66600.0
all_households,fourth_quintile,1986,84300.0,3000.0,87300.0,200.0,18900.0,68600.0
all_households,fourth_quintile,1987,85100.0,3000.0,88100.0,200.0,18700.0,69600.0
all_households,fourth_quintile,1988,85800.0,3000.0,88900.0,200.0,19300.0,69800.0
all_households,fourth_quintile,1989,86600.0,3300.0,89900.0,300.0,19500.0,70700.0
all_households,fourth_quintile,1990,85900.0,3400.0,89300.0,300.0,19400.0,70200.0
all_households,fourth_quintile,1991,84900.0,3700.0,88600.0,300.0,19100.0,69800.0
all_households,fourth_quintile,1992,85400.0,4000.0,89400.0,400.0,19100.0,70800.0
all_households,fourth_quintile,1993,86000.0,4000.0,90100.0,400.0,19300.0,71200.0
all_households,fourth_quintile,1994,87500.0,3600.0,91100.0,500.0,19800.0,71800.0
all_households,fourth_quintile,1995,89200.0,4100.0,93300.0,500.0,20300.0,73500.0
all_households,fourth_quintile,1996,90900.0,4100.0,95100.0,500.0,20700.0,74800.0
all_households,fourth_quintile,1997,93000.0,4400.0,97500.0,500.0,21300.0,76700.0
all_households,fourth_quintile,1998,96900.0,4400.0,101300.0,500.0,21800.0,80000.0
all_households,fourth_quintile,1999,99900.0,4400.0,104300.0,500.0,22500.0,82400.0
all_households,fourth_quintile,2000,101100.0,4500.0,105600.0,600.0,22800.0,83500.0
all_households,fourth_quintile,2001,99800.0,4800.0,104700.0,600.0,21100.0,84200.0
all_households,fourth_quintile,2002,97800.0,5000.0,102800.0,700.0,20100.0,83400.0
all_households,fourth_quintile,2003,98700.0,5100.0,103800.0,800.0,19400.0,85200.0
all_households,fourth_quintile,2004,101900.0,5100.0,107000.0,900.0,20200.0,87600.0
all_households,fourth_quintile,2005,103700.0,5300.0,109000.0,900.0,20800.0,89100.0
all_households,fourth_quintile,2006,105100.0,5800.0,110900.0,900.0,21200.0,90600.0
all_households,fourth_quintile,2007,107500.0,6000.0,113500.0,900.0,21500.0,92900.0
all_households,fourth_quintile,2008,104700.0,6200.0,111000.0,1000.0,18700.0,93200.0
all_households,fourth_quintile,2009,101200.0,7300.0,108400.0,1200.0,18000.0,91600.0
all_households,fourth_quintile,2010,100100.0,7500.0,107600.0,1200.0,18300.0,90600.0
all_households,fourth_quintile,2011,100600.0,7300.0,107900.0,1200.0,18000.0,91100.0
all_households,fourth_quintile,2012,100900.0,7300.0,108200.0,1200.0,18400.0,91100.0
all_households,fourth_quintile,2013,103200.0,7700.0,110900.0,1200.0,20500.0,91500.0
all_households,fourth_quintile,2014,105200.0,7700.0,112900.0,1600.0,21300.0,93200.0
all_households,fourth_quintile,2015,108900.0,7700.0,116600.0,1900.0,22100.0,96400.0
all_households,fourth_quintile,2016,109200.0,7800.0,117000.0,2000.0,22200.0,96800.0
all_households,fourth_quintile,2017,111100.0,7900.0,119100.0,2000.0,22400.0,98700.0
all_households,fourth_quintile,2018,112100.0,8300.0,120400.0,1800.0,21100.0,101000.0
all_households,fourth_quintile,2019,114900.0,8600.0,123500.0,2000.0,21800.0,103700.0
all_households,highest_quintile,1979,153500.0,2400.0,155900.0,100.0,42600.0,113400.0
all_households,highest_quintile,1980,149100.0,2700.0,151800.0,100.0,41300.0,110600.0
all_households,highest_quintile,1981,148600.0,2900.0,151400.0,100.0,40900.0,110700.0
all_households,highest_quintile,1982,149300.0,3200.0,152500.0,100.0,37600.0,115100.0
all_households,highest_quintile,1983,155200.0,3200.0,158400.0,100.0,38100.0,120400.0
all_households,highest_quintile,1984,168100.0,3500.0,171600.0,100.0,41400.0,130300.0
all_households,highest_quintile,1985,170000.0,3500.0,173500.0,100.0,41800.0,131900.0
all_households,highest_quintile,1986,191300.0,3500.0,194800.0,100.0,46400.0,148500.0
all_households,highest_quintile,1987,180600.0,3300.0,183900.0,100.0,47500.0,136500.0
all_households,highest_quintile,1988,193300.0,3400.0,196700.0,100.0,50400.0,146400.0
all_households,highest_quintile,1989,192800.0,3500.0,196400.0,200.0,49700.0,146800.0
all_households,highest_quintile,1990,188000.0,3700.0,191700.0,200.0,48400.0,143500.0
all_households,highest_quintile,1991,181700.0,3700.0,185400.0,200.0,47400.0,138200.0
all_households,highest_quintile,1992,189000.0,3900.0,192900.0,200.0,49700.0,143500.0
all_households,highest_quintile,1993,189300.0,4000.0,193200.0,200.0,51900.0,141600.0
all_households,highest_quintile,1994,193300.0,3900.0,197200.0,300.0,54200.0,143300.0
all_households,highest_quintile,1995,203300.0,4200.0,207500.0,300.0,57800.0,150000.0
